date,ticker,score,rsi,price,price_future,stock_return_pct,spy_return_pct,alpha_pct
2024-05-23,AAPL,3,59.1,185.45,206.54,11.38,3.52,7.85
2024-06-07,AAPL,3,66.9,195.38,226.92,16.15,4.42,11.73
2024-06-24,AAPL,3,65.2,206.54,223.28,8.11,2.03,6.07
2024-07-09,AAPL,3,66.1,226.92,205.64,-9.38,-6.06,-3.32
2024-07-30,AAPL,2,28.9,217.12,226.54,4.34,3.61,0.73
2024-09-25,AAPL,3,57.0,224.89,229.25,1.94,1.39,0.54
2024-10-02,AAPL,3,55.4,225.3,228.6,1.46,1.96,-0.5
2024-10-16,AAPL,3,55.5,230.27,223.9,-2.77,2.56,-5.32
2024-10-23,AAPL,3,57.3,229.25,227.76,-0.65,2.16,-2.82
2024-12-27,AAPL,3,69.3,254.2,238.06,-6.35,1.14,-7.49
2025-07-16,AAPL,3,67.6,209.52,232.89,11.15,3.31,7.84
2025-07-23,AAPL,3,55.0,213.5,225.58,5.66,0.61,5.04
2025-08-20,AAPL,3,69.3,225.58,237.43,5.25,3.78,1.47
2025-09-04,AAPL,3,61.8,239.32,256.64,7.24,3.38,3.85
2025-09-25,AAPL,3,66.3,256.38,259.09,1.06,2.08,-1.03
2025-10-23,AAPL,3,51.8,259.09,266.0,2.67,-2.86,5.53
2025-11-28,AAPL,3,67.2,278.59,273.5,-1.83,0.95,-2.78
2025-12-05,AAPL,3,58.9,278.52,262.11,-5.89,1.19,-7.08
2024-06-14,MSFT,3,62.9,436.67,443.52,1.57,4.4,-2.83
2024-07-09,MSFT,3,61.5,453.41,394.28,-13.04,-6.06,-6.98
2024-09-25,MSFT,3,68.3,427.11,419.69,-1.74,1.39,-3.13
2024-12-05,MSFT,3,64.2,438.38,423.75,-3.34,-1.53,-1.8
2025-08-06,MSFT,3,59.6,521.91,505.87,-3.07,2.58,-5.66
2025-10-09,MSFT,3,54.5,520.24,495.04,-4.84,-0.13,-4.72
2025-10-23,MSFT,3,53.6,518.4,477.34,-7.92,-2.86,-5.06
2025-10-30,MSFT,3,64.1,523.58,490.89,-6.24,0.52,-6.77
2024-07-01,GOOGL,3,65.8,181.7,169.09,-6.94,-0.61,-6.33
2024-10-09,GOOGL,2,49.3,160.93,175.5,9.05,2.41,6.64
2024-10-16,GOOGL,3,56.6,164.21,177.85,8.31,2.56,5.75
2024-12-19,GOOGL,3,69.3,187.64,197.46,5.23,3.82,1.41
2024-12-27,GOOGL,3,67.3,191.87,194.51,1.37,1.14,0.23
2025-05-23,GOOGL,3,54.7,167.89,166.39,-0.89,5.09,-5.98
2025-06-02,GOOGL,3,67.0,168.45,175.44,4.15,4.52,-0.36
2025-06-09,GOOGL,3,64.7,175.69,176.22,0.3,4.37,-4.07
