date,ticker,strategy,direction,surprise_pct,entry_price,exit_price,stock_return_pct,spy_return_pct,alpha_pct
2025-08-27,CRWD,EARNINGS_DRIFT,BUY,12.0,442.0,481.42,8.92,2.27,6.65
2025-06-03,CRWD,EARNINGS_DRIFT,BUY,10.6,460.56,514.1,11.62,5.25,6.38
2025-03-04,CRWD,EARNINGS_DRIFT,BUY,19.8,365.44,371.49,1.66,-2.89,4.54
2024-11-26,CRWD,EARNINGS_DRIFT,BUY,14.8,347.59,354.99,2.13,-0.3,2.43
2025-11-06,DDOG,EARNINGS_DRIFT,BUY,233.3,191.24,154.28,-19.33,1.89,-21.21
2025-08-07,DDOG,EARNINGS_DRIFT,BUY,12.2,130.91,136.44,4.22,1.83,2.4
2025-02-13,DDOG,EARNINGS_DRIFT,BUY,30.0,131.01,103.97,-20.64,-6.98,-13.66
2024-11-07,DDOG,EARNINGS_DRIFT,BUY,15.0,124.45,161.19,29.52,1.08,28.44
2024-08-08,DDOG,EARNINGS_DRIFT,BUY,19.4,112.28,107.7,-4.08,2.52,-6.6
2024-05-07,DDOG,EARNINGS_DRIFT,BUY,25.7,117.28,109.62,-6.53,3.38,-9.91
2025-10-30,NET,EARNINGS_DRIFT,BUY,17.4,253.3,197.2,-22.15,-0.26,-21.89
2025-07-31,NET,EARNINGS_DRIFT,BUY,16.7,200.11,208.71,4.3,3.75,0.55
2024-11-07,NET,EARNINGS_DRIFT,BUY,42.9,91.25,113.87,24.79,1.08,23.7
2024-08-01,NET,EARNINGS_DRIFT,BUY,42.9,79.46,82.14,3.37,5.78,-2.4
2024-05-02,NET,EARNINGS_DRIFT,BUY,23.1,74.4,67.43,-9.37,3.23,-12.6
2026-02-26,ZS,EARNINGS_DRIFT,BUY,12.2,146.99,156.12,6.21,-1.13,7.34
2025-11-25,ZS,EARNINGS_DRIFT,BUY,36.4,251.97,230.52,-8.51,1.86,-10.38
2025-09-02,ZS,EARNINGS_DRIFT,BUY,11.2,270.58,304.53,12.55,4.13,8.42
2025-05-29,ZS,EARNINGS_DRIFT,BUY,10.5,275.7,313.94,13.87,5.14,8.73
2025-03-05,ZS,EARNINGS_DRIFT,BUY,13.0,202.16,192.21,-4.92,-6.01,1.08
2024-12-02,ZS,EARNINGS_DRIFT,BUY,68.0,198.64,181.66,-8.55,-2.87,-5.68
2024-09-03,ZS,EARNINGS_DRIFT,BUY,27.5,157.13,169.69,7.99,3.57,4.43
2024-05-30,ZS,EARNINGS_DRIFT,BUY,35.4,169.96,198.62,16.86,3.74,13.12
2026-03-02,MDB,EARNINGS_DRIFT,BUY,700.0,252.73,271.89,7.58,-0.3,7.89
2025-12-01,MDB,EARNINGS_DRIFT,BUY,67.1,401.99,419.69,4.4,0.35,4.05
2025-08-26,MDB,EARNINGS_DRIFT,BUY,51.5,295.7,315.32,6.64,2.05,4.59
2025-06-04,MDB,EARNINGS_DRIFT,BUY,51.5,225.38,210.01,-6.82,4.97,-11.79
2025-03-05,MDB,EARNINGS_DRIFT,BUY,91.0,192.98,163.34,-15.36,-6.01,-9.35
2024-12-09,MDB,EARNINGS_DRIFT,BUY,68.1,290.9,245.22,-15.7,-3.38,-12.33
2024-08-29,MDB,EARNINGS_DRIFT,BUY,45.8,290.79,270.35,-7.03,2.1,-9.13
2024-05-30,MDB,EARNINGS_DRIFT,BUY,37.8,236.06,263.51,11.63,3.74,7.89
2026-03-03,GTLB,EARNINGS_DRIFT,BUY,77.8,25.05,23.26,-7.15,-1.0,-6.14
2025-12-02,GTLB,EARNINGS_DRIFT,BUY,25.0,37.83,36.18,-4.36,0.19,-4.55
2025-09-03,GTLB,EARNINGS_DRIFT,BUY,50.0,43.46,46.49,6.97,3.38,3.59
2025-06-10,GTLB,EARNINGS_DRIFT,BUY,13.3,43.37,42.03,-3.09,4.01,-7.1
2025-03-03,GTLB,EARNINGS_DRIFT,BUY,43.5,62.8,47.65,-24.12,-2.46,-21.66
